         1,         0,  2010,  2476,  1736,   732,  3528,  1427,  2292,  3606,   100,  1926,  3665,   345
         2,       100,  2007,  2480,  1747,   674,  3517,  1493,  2223,  3653,   125,  1852,  3695,   389
         3,       200,  2004,  2483,  1758,   618,  3504,  1560,  2152,  3697,   152,  1778,  3723,   435
         4,       300,  2001,  2486,  1770,   564,  3489,  1627,  2082,  3740,   182,  1705,  3748,   483
         5,       400,  1999,  2488,  1783,   512,  3472,  1695,  2011,  3780,   215,  1632,  3771,   534
         6,       500,  1996,  2489,  1795,   463,  3453,  1764,  1940,  3818,   250,  1560,  3791,   586
         7,       600,  1993,  2489,  1808,   415,  3431,  1833,  1869,  3854,   288,  1489,  3808,   641
         8,       700,  1990,  2488,  1822,   370,  3408,  1903,  1798,  3887,   328,  1418,  3824,   698
         9,       800,  1988,  2487,  1835,   327,  3383,  1973,  1727,  3919,   371,  1348,  3836,   757
        10,       900,  1985,  2485,  1849,   287,  3356,  2042,  1656,  3947,   416,  1279,  3846,   817
        11,      1000,  1982,  2482,  1863,   249,  3327,  2112,  1586,  3974,   463,  1211,  3853,   879
        12,      1100,  1980,  2479,  1877,   214,  3297,  2182,  1516,  3997,   513,  1145,  3858,   943
        13,      1200,  1978,  2475,  1891,   182,  3264,  2252,  1447,  4019,   565,  1079,  3860,  1009
        14,      1300,  1975,  2470,  1906,   152,  3230,  2321,  1378,  4037,   619,  1016,  3859,  1076
        15,      1400,  1973,  2465,  1920,   125,  3194,  2390,  1310,  4054,   675,   953,  3856,  1144
        16,      1500,  1971,  2458,  1935,   100,  3157,  2458,  1243,  4067,   733,   892,  3850,  1214
        17,      1600,  1969,  2452,  1950,    78,  3118,  2526,  1176,  4078,   793,   833,  3842,  1285
        18,      1700,  1967,  2444,  1965,    59,  3078,  2593,  1111,  4087,   854,   775,  3831,  1356
        19,      1800,  1965,  2436,  1980,    43,  3036,  2660,  1047,  4092,   917,   720,  3817,  1429
        20,      1900,  1964,  2427,  1995,    30,  2992,  2725,   984,  4095,   982,   666,  3801,  1503
        21,      2000,  1962,  2417,  2010,    20,  2948,  2790,   922,  4096,  1049,   614,  3782,  1578
        22,      2100,  1960,  2407,  2025,    12,  2902,  2854,   862,  4094,  1117,   564,  3761,  1653
        23,      2200,  1959,  2396,  2040,     8,  2854,  2916,   803,  4089,  1186,   516,  3737,  1729
        24,      2300,  1958,  2385,  2055,     6,  2806,  2977,   745,  4081,  1256,   471,  3711,  1805
        25,      2400,  1957,  2373,  2070,     7,  2757,  3037,   690,  4071,  1328,   427,  3682,  1881
        26,      2500,  1955,  2361,  2085,    12,  2706,  3096,   635,  4058,  1400,   386,  3651,  1958
        27,      2600,  1954,  2347,  2099,    19,  2655,  3153,   583,  4043,  1473,   348,  3618,  2035
        28,      2700,  1954,  2334,  2114,    28,  2603,  3208,   533,  4025,  1548,   311,  3582,  2112
        29,      2800,  1953,  2320,  2128,    41,  2550,  3262,   484,  4004,  1623,   278,  3544,  2189
